  irish    mexican    filipino    chinese    vietnamese    spanish    japanese    moroccan    french    greek    indian    jamaican    british    brazilian    russian    cajun_creole    thai    southern_us    korean    italian
-------  ---------  ----------  ---------  ------------  ---------  ----------  ----------  --------  -------  --------  ----------  ---------  -----------  ---------  --------------  ------  -------------  --------  ---------
      5         32           0          3             1          8           2           9        42       23         6           2          5            2          0               6       5             10         1        215
     16         42          10         19             5          5           4          11         4        8       113          19          0            4          2               9       3              6         1         14
      1        224           0          8             1          0           1           0         0        1        10           2          0            7          0               8       2              4         0         13
      2         16           8        128            34          3          48           0         1        1         4           0          0            2          1               2      45              8        32          5
     19         19           4         10             1         10           8           7        51        6         8           0         30            2          6               7       2             76         0         59
      5         12           0          2             1          0           1           0         3        1         1           1          0            0          4              29       0             17         0         19
      0          0           0          0             0          0           0           0         0        0         0           0          0            0          0               0       0              0         0          2
      0          1           0          0             0          0           1           0         0        0         0           0          6            0          0               0       0              0         0          0
      0          3           0          0             0          0           0           0         0        0         0           0          0            0          0               0       0              0         0          0
      0          0           0          0             0          0           2           0         0        0         0           0          0            0          0               0       0              0         0          0
      0          8           6          1             0          3           1           1         2        1         2           0          0            0          0               0       0              2         0         23
      0          0           2          0             1          0           0           0         9        0         0           0          0            1          2               1       0              6         0          0
      6          0           0          0             1          0           0           1         0        1         0           0          0            0          0               0       0              0         0          0
      0          0           0          0             0          0           0           0         0        0         0           4          0            0          0               0       0              0         0          0
      0          0           0          0             0          0           0           0         0        0         0           0          0            0          0               0       2              0         0          0
